code,name,industry,tracking_index,asset_size_cny,date,close,return_1d,mom20,mom60,ma5,ma10,ma20,trend20,vol20,amount60,rank_mom20,rank_mom60,rank_trend20,rank_vol20,rank_amount60,score,trend_ok
516080,易方达中证创新药产业ETF,医药生物,中证创新药产业指数,2158000000.0,2026-09-22,0.693,-0.0028776978417266452,0.0014450867052022698,0.07776049766718507,0.6761999999999999,0.6666000000000001,0.67405,0.028113641421259494,0.2555707470417341,272786735.0,0.4672489082969432,0.7607655502392344,0.7641921397379913,0.5676855895196506,0.8820960698689956,0.5258749294832954,True
516100,华夏中证金融科技主题ETF,非银金融,中证金融科技主题指数,1092000000.0,2026-09-22,1.035,0.0038797284190106307,0.00778967867575453,-0.0019286403085824189,1.013,1.0148,1.04215,-0.006860816581106377,0.28107355853799354,39769607.983333334,0.5589519650655022,0.6794258373205742,0.42358078602620086,0.7074235807860262,0.5502183406113537,0.44740602996176415,False
516120,富国中证细分化工产业主题ETF,基础化工,细分化工,5067000000.0,2026-09-22,0.846,-0.004705882352941226,-0.017421602787456414,-0.10095642933049942,0.8436,0.8516999999999999,0.87095,-0.028646879843848727,0.2517270162903331,93596225.25,0.31877729257641924,0.4688995215311005,0.15283842794759825,0.5458515283842795,0.6943231441048034,0.2516694176887236,False
516150,嘉实中证稀土产业ETF,有色金属,中证稀土产业指数,7831000000.0,2026-09-22,1.673,-0.004166666666666652,-0.026759744037231026,-0.18390243902439019,1.6636,1.6605999999999999,1.689,-0.009473060982830073,0.2032789614334481,165501561.21666667,0.2314410480349345,0.3588516746411483,0.38427947598253276,0.314410480349345,0.7816593886462883,0.252017300098201,False
516180,平安中证光伏产业ETF,电力设备,中证光伏产业指数,143000000.0,2026-09-22,0.676,-0.002949852507374673,-0.024531024531024404,-0.21212121212121204,0.6688000000000001,0.6656000000000001,0.6747,0.0019267822736031004,0.18416630275396226,7450043.366666666,0.2663755458515284,0.2679425837320574,0.5109170305676856,0.17903930131004367,0.08296943231441048,0.2712908213367877,False
516220,国泰中证细分化工产业主题ETF,基础化工,细分化工,296000000.0,2026-09-22,0.866,-0.009153318077803174,-0.015909090909090873,-0.09508881922675028,0.8646,0.8721,0.89075,-0.02778557395453274,0.24603574534129638,15289703.8,0.3406113537117904,0.49282296650717705,0.1703056768558952,0.5152838427947598,0.2794759825327511,0.27423476316834167,False
516230,招商中证光伏产业ETF,电力设备,中证光伏产业指数,701000000.0,2026-09-22,0.755,-0.00395778364116095,-0.027061855670103108,-0.21107628004179724,0.7476,0.7438,0.75385,0.0015255024209059886,0.17442154830265305,7590857.15,0.22707423580786026,0.2727272727272727,0.49344978165938863,0.13100436681222707,0.09606986899563319,0.26052004763795156,False
516270,华安中证内地新能源主题ETF,电力设备,中证内地新能源主题指数,224000000.00000003,2026-09-22,0.539,-0.0018518518518518823,-0.07547169811320742,-0.24615384615384606,0.5372,0.5377000000000001,0.54965,-0.019375966524151633,0.16957683599553044,10477971.783333333,0.07423580786026202,0.16267942583732056,0.21397379912663755,0.12663755458515283,0.17467248908296942,0.11305133616096613,False
516290,汇添富中证光伏产业ETF,电力设备,中证光伏产业指数,476000000.0,2026-09-22,0.507,-0.0019685039370078705,-0.025000000000000022,-0.21517027863777094,0.5012000000000001,0.4992,0.5058,0.0023724792408066353,0.1886779381308648,14602926.766666668,0.2576419213973799,0.24880382775119617,0.5283842794759825,0.2183406113537118,0.2663755458515284,0.2610988069618269,False
516350,易方达中证芯片产业ETF,电子,中证芯片产业指数,2980000000.0,2026-09-22,1.653,0.009157509157509125,0.03766478342749524,-0.30952380952380953,1.6166,1.5698,1.5895000000000001,0.03994966970745506,0.3583208781294226,233154330.1,0.8209606986899564,0.07655502392344497,0.8777292576419214,0.8384279475982532,0.8427947598253275,0.40583355968324947,True
516500,华夏中证生物科技主题ETF,医药生物,中证生物科技主题指数,171000000.0,2026-09-22,0.657,0.0,0.0076687116564417845,0.12116040955631413,0.64,0.6311,0.6361000000000001,0.032856469108630604,0.23054446673342444,11526429.033333333,0.5502183406113537,0.8564593301435407,0.8078602620087336,0.4410480349344978,0.20087336244541484,0.6098044336725099,True
516510,易方达中证云计算与大数据主题ETF,计算机,中证云计算与大数据主题指数,2452000000.0,2026-09-22,1.684,0.022465088038858383,0.03439803439803435,-0.03606182026330862,1.6374000000000002,1.6222,1.6485500000000002,0.021503745715931943,0.22726601528787804,192482677.21666667,0.7685589519650655,0.5454545454545454,0.7030567685589519,0.4148471615720524,0.8122270742358079,0.559031361651449,True
516520,华泰柏瑞中证智能汽车主题ETF,汽车,中证智能汽车主题指数,1047000000.0,2026-09-22,1.054,0.006685768863419428,0.01737451737451745,-0.13036303630363033,1.034,1.0232999999999999,1.03595,0.017423620831121367,0.1674302416110101,45797870.36666667,0.6724890829694323,0.4258373205741627,0.6550218340611353,0.11790393013100436,0.5764192139737991,0.5036282150393848,True
