date,stock_code,industry,change_pct,amount_cny,sealed_amount_cny,last_sealed_time,source,retrieved_at
2026-09-15,600869,电力设备,-10.016420364379883,6344311040.0,347904222.0,141310,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.147921+00:00
2026-09-15,600127,农林牧渔,-10.021171569824219,2077788000.0,447105282.0,102341,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.147921+00:00
2026-09-16,002912,计算机,-9.98242473602295,499557808.0,120006052.0,094945,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.272492+00:00
2026-09-16,601086,商贸零售,-10.006176948547363,697839056.0,239625869.0,094935,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.272492+00:00
2026-09-16,000978,社会服务,-10.030706405639648,140477385.0,370765004.0,092500,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.272492+00:00
2026-09-16,002212,计算机,-10.038609504699707,320673248.0,448080025.0,092500,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.272492+00:00
2026-09-17,002163,建筑装饰,-9.965636253356934,628456720.0,461382.0,145600,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.395564+00:00
2026-09-21,003013,建筑装饰,-10.015649795532227,314781440.0,1926825.0,145609,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.660260+00:00
2026-09-21,605198,农林牧渔,-10.002328872680664,358205392.0,120796541.0,150000,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.660260+00:00
2026-09-22,000668,房地产,-9.974160194396973,201315381.0,4274868.0,134757,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.791756+00:00
2026-09-22,603375,电子,-10.0,466901024.0,7446996.0,135440,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.791756+00:00
2026-09-22,603226,轻工制造,-10.008203506469727,380653488.0,21829203.0,150000,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.791756+00:00
2026-09-23,603823,基础化工,-10.003565788269043,1333330592.0,9552456.0,135142,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.918658+00:00
2026-09-23,603679,电子,-9.996170043945312,547065376.0,10325195.0,150000,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.918658+00:00
2026-09-23,603248,电力设备,-10.00837516784668,501187872.0,19128786.0,142437,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.918658+00:00
2026-09-23,000607,传媒,-10.0401611328125,619572576.0,24712271.0,133448,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.918658+00:00
2026-09-23,600088,传媒,-10.019776344299316,475756960.0,30626791.0,133841,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.918658+00:00
2026-09-23,000756,医药生物,-9.97521686553955,1333044256.0,48120483.0,135851,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.918658+00:00
2026-09-23,002253,计算机,-10.02921199798584,16782612.0,76053968.0,092500,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.918658+00:00
2026-09-23,605577,传媒,-10.005653381347656,440713232.0,81411489.0,102828,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.918658+00:00
2026-09-23,003040,通信,-10.011312484741211,1102452672.0,89899455.0,110951,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.918658+00:00
2026-09-23,001317,交通运输,-10.006064414978027,718069024.0,93441722.0,110339,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.918658+00:00
2026-09-23,600630,纺织服饰,-10.021097183227539,522523904.0,126600400.0,095248,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.918658+00:00
2026-09-23,920229,,-30.000001907348633,42862419.0,328070542.0,092501,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.918658+00:00
2026-09-23,000993,公用事业,-9.995217323303223,764107472.0,460675282.0,094957,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:23.918658+00:00
2026-09-24,000607,传媒,-10.044642448425293,488481952.0,1981083.0,150000,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:24.041965+00:00
2026-09-24,605179,食品饮料,-10.003690719604492,697878704.0,2913410.0,150000,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:24.041965+00:00
2026-09-24,603823,基础化工,-10.00594425201416,1505987776.0,6999222.0,145616,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:24.041965+00:00
2026-09-24,000593,公用事业,-10.004134178161621,492443408.0,11264059.0,142136,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:24.041965+00:00
2026-09-24,920229,,-30.000001907348633,574268944.0,18185687.0,141101,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:24.041965+00:00
2026-09-24,920025,,-30.000001907348633,577722352.0,33568080.0,141231,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:24.041965+00:00
2026-09-24,002106,电子,-10.0,715305552.0,40794972.0,143921,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:24.041965+00:00
2026-09-24,000978,社会服务,-10.01137638092041,597634384.0,64390018.0,103739,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:24.041965+00:00
2026-09-24,601086,商贸零售,-9.988248825073242,1165472048.0,78793824.0,130215,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:24.041965+00:00
2026-09-24,600503,房地产,-9.863945960998535,475416016.0,81877580.0,095527,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:24.041965+00:00
2026-09-24,600664,医药生物,-9.955751419067383,4120296768.0,171037680.0,130039,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:24.041965+00:00
2026-09-24,000823,电子,-10.0,3267359872.0,348555640.0,130936,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:24.041965+00:00
2026-09-24,601091,机械设备,-10.0,1522465536.0,373188384.0,101632,akshare:stock_zt_pool_dtgc_em,2026-09-24T15:30:24.041965+00:00
